Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
3983,Macha Devender,WARANGAL (SC),Viduthalai Chiruthaigal Katchi,0,Graduate,"Rs 9,32,000 ~ 9 Lacs+","Rs 7,10,000 ~ 7 Lacs+"
3984,Machcherla Venkata Reddy,SECUNDERABAD,IND,0,Illiterate,"Rs 1,10,44,500 ~ 1 Crore+",Rs 0 ~
3985,Machhindra Sheshrav Maghade,BULDHANA,Socialist Party (India),0,10th Pass,,
3986,Mada Raja,RAJAMPET,Jaathia Chethi Vruthula Ikya Vedika Party,0,12th Pass,"Rs 15,07,000 ~ 15 Lacs+","Rs 4,15,000 ~ 4 Lacs+"
3987,Madan Kanifnath Sonvane,AHMEDNAGAR,Right to Recall Party,0,Post Graduate,"Rs 30,548 ~ 30 Thou+",Rs 0 ~
3988,Madan Lal,SHIMLA (SC),Akhil Bhartiya Parivar Party,0,10th Pass,"Rs 10,97,743 ~ 10 Lacs+","Rs 1,05,000 ~ 1 Lacs+"
3989,Madan Mohan Tiwari,PASCHIM CHAMPARAN,INC,0,Post Graduate,"Rs 4,56,76,146 ~ 4 Crore+","Rs 2,50,000 ~ 2 Lacs+"
3990,Madan Prasad Gond,RAIGARH (ST),Gondvana Gantantra Party,0,10th Pass,,
3991,Madan Rajbhar,GHOSI,Mang Samaj Party,0,Graduate,"Rs 15,88,000 ~ 15 Lacs+",Rs 0 ~
3992,Madasi Sudharshan,CHITTOOR (SC),IND,1,12th Pass,"Rs 10,000 ~ 10 Thou+",Rs 0 ~
3993,Madavarapu Naga Raju,GUNTUR,IND,0,Illiterate,Nil,Rs 0 ~
3994,Maddisetty Yerrappa Alias Ajay,KHAMMAM,IND,0,Graduate Professional,"Rs 74,50,000 ~ 74 Lacs+",Rs 0 ~
3995,Madhab Rajbangshi,DARRANG-UDALGURI,INC,0,Graduate Professional,,
3996,Madhan,THENI,Naam Tamilar Katchi,2,Post Graduate,"Rs 60,59,930 ~ 60 Lacs+",Rs 0 ~
3997,Madhav Chandra Kunkal,SINGHBHUM (ST),IND,3,Graduate Professional,"Rs 11,66,065 ~ 11 Lacs+","Rs 13,02,280 ~ 13 Lacs+"
3998,Madhavaneni Raghunandan Rao,MEDAK,BJP,29,Graduate Professional,"Rs 22,09,07,289 ~ 22 Crore+","Rs 12,11,78,789 ~ 12 Crore+"
3999,Madhavi Latha Kompella,HYDERABAD,BJP,1,Post Graduate,"Rs 2,21,40,09,647 ~ 221 Crore+","Rs 27,03,40,639 ~ 27 Crore+"
4000,Madhavitai Naresh Joshi,MAVAL,Vanchit Bahujan Aaghadi,0,Others,,
4001,Madhavrao Sakharam Bansode,BULDHANA,Bahujan Republican Socialist Party,0,12th Pass,"Rs 3,53,200 ~ 3 Lacs+",Rs 0 ~
4002,Madheswaran V,NAMAKKAL,IND,0,Others,"Rs 21,42,848 ~ 21 Lacs+","Rs 1,50,000 ~ 1 Lacs+"
4003,Madhu,WEST DELHI,Akhil Bhartiya Parivar Party,0,Graduate,"Rs 4,21,224 ~ 4 Lacs+",Rs 0 ~
4004,Madhukar Damodar Thorat,MAVAL,IND,0,8th Pass,"Rs 63,32,484 ~ 63 Lacs+","Rs 6,72,094 ~ 6 Lacs+"
4005,Madhukar Dhakal,SIKKIM,IND,0,Graduate Professional,,
4006,Madhuri Kumari,PATALIPUTRA,All India Forward Bloc,0,Post Graduate,"Rs 64,45,948 ~ 64 Lacs+","Rs 30,00,000 ~ 30 Lacs+"
4007,Madhuri Raju Jadhav,KOLHAPUR,IND,0,8th Pass,"Rs 8,30,000 ~ 8 Lacs+",Rs 0 ~
4008,Madhusudan Barik,BOLANGIR,Ambedkarite Party of India,0,Graduate,"Rs 20,37,000 ~ 20 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
4009,Madhusudan Singh,MAHARAJGANJ,BSP,0,Graduate Professional,"Rs 15,57,640 ~ 15 Lacs+",Rs 0 ~
4010,Madhusudhan Paswan,HAJIPUR (SC),IND,0,12th Pass,,
4011,Mafijul Molla,BASIRHAT,IND,0,8th Pass,"Rs 4,30,300 ~ 4 Lacs+",Rs 0 ~
4012,Magunta Sreenivasulu Reddy,ONGOLE,TDP,0,Graduate,"Rs 57,95,39,820 ~ 57 Crore+","Rs 27,63,23,277 ~ 27 Crore+"
4013,Mahabal Mishra,WEST DELHI,AAP,2,12th Pass,"Rs 43,03,55,596 ~ 43 Crore+","Rs 2,58,70,112 ~ 2 Crore+"
4014,Mahaboob Basha,DAVANAGERE,IND,0,Illiterate,"Rs 2,40,000 ~ 2 Lacs+","Rs 1,03,522 ~ 1 Lacs+"
4015,Mahadev Nagdeve,BALAGHAT,IND,0,8th Pass,,
4016,Mahadev Patil,BELGAUM,IND,1,10th Pass,"Rs 31,43,233 ~ 31 Lacs+","Rs 1,37,425 ~ 1 Lacs+"
4017,Mahadev Sahebrao Khengare - Patil,BARAMATI,Bhartiya Navjawan Sena (Paksha),0,5th Pass,"Rs 30,000 ~ 30 Thou+",Rs 0 ~
4018,Mahadev. P,CHIKKBALLAPUR,BSP,0,10th Pass,"Rs 73,50,200 ~ 73 Lacs+",Rs 0 ~
4019,Mahadevaswamy B M (Pampi),CHAMARAJANAGAR (SC),IND,0,Graduate,"Rs 11,17,848 ~ 11 Lacs+","Rs 3,00,000 ~ 3 Lacs+"
4020,Mahadhev Swami Matam,ZAHIRABAD,IND,0,12th Pass,,
4021,Mahafujul Alam,MURSHIDABAD,SUCI(C),0,Post Graduate,"Rs 44,28,488 ~ 44 Lacs+","Rs 4,50,837 ~ 4 Lacs+"
4022,Mahamad Musadik Pasha,BANGALORE RURAL,Karnataka Rashtra Samithi,0,8th Pass,"Rs 11,98,150 ~ 11 Lacs+",Rs 0 ~
4023,Mahamd Jahangir,BHONGIR,CPI(M),0,Graduate,"Rs 41,00,567 ~ 41 Lacs+",Rs 0 ~
4024,Mahameghabahan Aira Kharabela Swain,BALASORE,IND,0,Post Graduate,"Rs 72,20,000 ~ 72 Lacs+",Rs 0 ~
4025,Mahammad Mubarak Daraveshi,HATKANANGALE,IND,0,8th Pass,,
4026,Mahamuni. A,KARUR,IND,0,Graduate Professional,"Rs 4,16,590 ~ 4 Lacs+",Rs 0 ~
4027,Mahandra Singh,SAMBHAL,IND,0,Post Graduate,"Rs 14,87,500 ~ 14 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
4028,Mahant Ravi Kant Muni,CHANDIGARH,IND,0,12th Pass,"Rs 1,48,00,000 ~ 1 Crore+",Rs 0 ~
4029,Maharajan G,KRISHNAGIRI,IND,0,Post Graduate,"Rs 83,12,956 ~ 83 Lacs+","Rs 26,80,415 ~ 26 Lacs+"
4030,Maharudra Keshav Poplaitkar,NANDED,IND,0,12th Pass,,
4031,Mahashon Murmu,DUMKA (ST),IND,0,Post Graduate,"Rs 53,34,668 ~ 53 Lacs+","Rs 3,00,000 ~ 3 Lacs+"
4032,Mahasiddha Tukaram Gaikwad,SOLAPUR (SC),IND,0,5th Pass,"Rs 74,000 ~ 74 Thou+",Rs 0 ~
4033,Mahaveer Jain,JABALPUR,IND,0,12th Pass,"Rs 1,27,06,042 ~ 1 Crore+","Rs 1,01,02,123 ~ 1 Crore+"
4034,Mahavir Prasad Kumawat,CHITTORGARH,Right to Recall Party,0,12th Pass,"Rs 69,944 ~ 69 Thou+",Rs 0 ~
4035,Mahavir Singh,KURUKSHETRA,Ekam Sanatan Bharat Dal,0,Post Graduate,,
4036,Mahboob Alam Ansari,PATNA SAHIB,Bharatiya Momin Front,0,Graduate,"Rs 39,40,000 ~ 39 Lacs+",Rs 0 ~
4037,Mahemudbhai Saiyad,PORBANDAR,IND,0,10th Pass,"Rs 13,17,000 ~ 13 Lacs+",Rs 0 ~
4038,Mahender Pratap Singh,FARIDABAD,INC,0,12th Pass,"Rs 90,44,74,899 ~ 90 Crore+",Rs 0 ~
4039,Mahender Singh,BAGHPAT,Sarvjan Samta Party,0,Graduate,"Rs 35,88,055 ~ 35 Lacs+","Rs 7,50,968 ~ 7 Lacs+"
4040,Mahendra,GAUTAM BUDDHA NAGAR,SP,1,Graduate Professional,,
4041,Mahendra,MOHANLALGANJ (SC),IND,0,8th Pass,"Rs 84,000 ~ 84 Thou+",Rs 0 ~
4042,Mahendra Baitha,PALAMU (SC),SUCI(C),0,Literate,"Rs 2,51,100 ~ 2 Lacs+",Rs 0 ~
4043,Mahendra Bhaiya,SIDHI,IND,0,10th Pass,"Rs 30,000 ~ 30 Thou+","Rs 75,000 ~ 75 Thou+"
4044,Mahendra Devram Koli,JALGAON,IND,0,8th Pass,"Rs 5,00,000 ~ 5 Lacs+","Rs 5,00,000 ~ 5 Lacs+"
4045,Mahendra Jain Bhaiyan,GUNA,IND,0,Graduate,,
4046,Mahendra Kumar Rawat,BARABANKI (SC),Awami Samta Party,0,12th Pass,"Rs 12,86,528 ~ 12 Lacs+",Rs 0 ~
4047,Mahendra Kumar Shriwas (Manju),KORBA,IND,0,12th Pass,"Rs 5,28,500 ~ 5 Lacs+","Rs 3,20,000 ~ 3 Lacs+"
4048,Mahendra Nath Yadav,AZAMGARH,Moolniwasi Samaj Party,0,Graduate,"Rs 67,94,000 ~ 67 Lacs+",Rs 0 ~
4049,Mahendra Oraon,LOHARDAGA (ST),CPI,0,12th Pass,"Rs 37,78,000 ~ 37 Lacs+",Rs 0 ~
4050,Mahendra Ramakrishnan P,VIRUDHUNAGAR,IND,0,8th Pass,,
4051,Mahendra Regar,PALI,BSP,0,Graduate,"Rs 44,32,546 ~ 44 Lacs+","Rs 15,70,000 ~ 15 Lacs+"
4052,Mahendra Singh,AGRA (SC),IND,0,5th Pass,"Rs 40,000 ~ 40 Thou+",Rs 0 ~
4053,Mahendra Singh Alias Mahendra Rai,SIWAN,IND,1,Graduate,"Rs 1,08,58,500 ~ 1 Crore+",Rs 0 ~
4054,Mahendra Singh Solanky,DEWAS (SC),BJP,2,Graduate Professional,"Rs 38,17,399 ~ 38 Lacs+","Rs 27,11,920 ~ 27 Lacs+"
4055,Mahendra Singh Yadav,SITAPUR,BSP,0,Post Graduate,,
4056,Mahendrajeetsingh Malviya,BANSWARA (ST),BJP,0,Graduate,"Rs 12,49,30,443 ~ 12 Crore+","Rs 5,65,59,269 ~ 5 Crore+"
4057,Mahesh A V,KOLAR (SC),Karnataka Rashtra Samithi,2,Graduate,"Rs 36,73,545 ~ 36 Lacs+","Rs 10,00,000 ~ 10 Lacs+"
4058,Mahesh Ashok Kasar,CHIKKODI,IND,0,Graduate Professional,"Rs 5,61,400 ~ 5 Lacs+","Rs 2,50,000 ~ 2 Lacs+"
4059,Mahesh Bando,CHATRA,Bahujan Mukti Party,0,12th Pass,"Rs 87,85,000 ~ 87 Lacs+","Rs 7,00,000 ~ 7 Lacs+"
4060,Mahesh Chandra Sharma,ALIGARH,IND,0,10th Pass,,
4061,Mahesh Dashrath Mhaske,PUNE,IND,0,Others,"Rs 1,60,000 ~ 1 Lacs+",Rs 0 ~
4062,Mahesh Gornalkar,BIDAR,Republican Party of India (A),0,Post Graduate,"Rs 3,85,842 ~ 3 Lacs+",Rs 0 ~
4063,Mahesh Kailas Napte,HINGOLI,IND,1,Graduate Professional,"Rs 2,57,00,000 ~ 2 Crore+","Rs 9,72,779 ~ 9 Lacs+"
4064,Mahesh Kashyap,BASTAR (ST),BJP,0,8th Pass,"Rs 39,67,309 ~ 39 Lacs+","Rs 34,980 ~ 34 Thou+"
4065,Mahesh Kumar,SIKAR,IND,0,Graduate Professional,,
4066,Mahesh Kumar,JAMSHEDPUR,Right to Recall Party,0,Graduate Professional,"Rs 63,50,000 ~ 63 Lacs+",Rs 0 ~
4067,Mahesh Kumar,PATNA SAHIB,Samata Party,0,12th Pass,"Rs 4,28,457 ~ 4 Lacs+",Rs 0 ~
4068,Mahesh Kumar Denwal,NEW DELHI,Ambedkarite Party of India,0,10th Pass,"Rs 33,73,540 ~ 33 Lacs+","Rs 7,28,270 ~ 7 Lacs+"
4069,Mahesh Kumar Prajapati,PRATAPGARH,Samajhdar Party,0,Graduate Professional,"Rs 1,02,63,035 ~ 1 Crore+",Rs 0 ~
4070,Mahesh Kumar Sonwani,BILASPUR,IND,0,8th Pass,,
4071,Mahesh Kumar Wattee,MANDLA (ST),Gondvana Gantantra Party,2,Post Graduate,"Rs 82,04,500 ~ 82 Lacs+","Rs 27,00,000 ~ 27 Lacs+"
4072,Mahesh Pahariya,RAJMAHAL (ST),IND,0,8th Pass,"Rs 37,14,520 ~ 37 Lacs+",Rs 0 ~
4073,Mahesh Parmar,UJJAIN (SC),INC,8,Post Graduate,"Rs 2,77,22,030 ~ 2 Crore+","Rs 74,79,423 ~ 74 Lacs+"
4074,Mahesh Parmar,UJJAIN (SC),IND,0,Literate,"Rs 1,92,384 ~ 1 Lacs+",Rs 0 ~
4075,Mahesh Pawar,KHANDWA,Peoples Party of India (Democratic),0,Post Graduate,,
4076,Mahesh Pratap Sharma,FARIDABAD,Rashtriya Vikas Party,0,Graduate Professional,"Rs 4,91,61,307 ~ 4 Crore+",Rs 0 ~
4077,Mahesh Saini,MANDI,Himachal Janta Party,0,Post Graduate,"Rs 24,72,919 ~ 24 Lacs+","Rs 26,30,000 ~ 26 Lacs+"
4078,Mahesh Sitaram Bhagwat,BARAMATI,IND,0,Graduate,"Rs 13,33,38,712 ~ 13 Crore+","Rs 3,28,18,792 ~ 3 Crore+"
4079,Mahesh Swarn,MAHASAMUND,IND,1,12th Pass,"Rs 5,11,20,000 ~ 5 Crore+","Rs 8,00,000 ~ 8 Lacs+"
4080,Mahesh Thakur,MAVAL,Dharmarajya Paksha,0,8th Pass,,
4081,Mahesh Yashwant Kharade,SANGLI,Swabhimani Paksha,7,Post Graduate,"Rs 67,17,998 ~ 67 Lacs+",Rs 0 ~
4082,Maheshkumar Somabhai Thakor,AHMEDABAD EAST,IND,0,12th Pass,"Rs 7,00,000 ~ 7 Lacs+",Rs 0 ~
4083,Maheshwar Thounaojam,INNER MANIPUR,Republican Party of India (Athawale),0,Graduate,"Rs 24,55,290 ~ 24 Lacs+","Rs 17,20,000 ~ 17 Lacs+"
4084,Maheswar Barman,JALPAIGURI (SC),IND,0,Post Graduate,"Rs 1,11,00,672 ~ 1 Crore+","Rs 56,632 ~ 56 Thou+"
4085,Maheswar Das,JAGATSINGHPUR (SC),SUCI(C),0,Literate,,
4086,Maheswar Sahoo,DHENKANAL,IND,0,Post Graduate,"Rs 10,93,000 ~ 10 Lacs+","Rs 35,000 ~ 35 Thou+"
4087,Maheswaran. A,KARUR,IND,0,Graduate Professional,"Rs 5,37,500 ~ 5 Lacs+","Rs 38,000 ~ 38 Thou+"
4088,Mahima Kumari Mewar,RAJSAMAND,BJP,0,Graduate,"Rs 1,13,76,000 ~ 1 Crore+",Rs 0 ~
4089,Mahima Patel,PHULPUR,Apna Dal (Kamerawadi),0,Graduate Professional,"Rs 23,04,000 ~ 23 Lacs+",Rs 0 ~
4090,Mahinder Singh Hamira,KHADOOR SAHIB,IND,1,10th Pass,,
4091,Mahkar Singh,GAUTAM BUDDHA NAGAR,IND,2,5th Pass,"Rs 11,73,000 ~ 11 Lacs+",Rs 0 ~
4092,Mahua Moitra,KRISHNANAGAR,AITC,1,Graduate,"Rs 3,50,67,166 ~ 3 Crore+",Rs 0 ~
4093,Maisangari Sunil,MEDAK,India Praja Bandhu Party,0,10th Pass,"Rs 4,06,500 ~ 4 Lacs+",Rs 0 ~
4094,Maithili Sharan Gupta,BHOPAL,IND,0,Post Graduate,"Rs 19,23,00,000 ~ 19 Crore+",Rs 0 ~
4095,Majid Ali,SAHARANPUR,BSP,6,Literate,,
4096,Majnu Laskar,DIAMOND HARBOUR,All India Secular Front,0,Graduate Professional,"Rs 56,90,174 ~ 56 Lacs+","Rs 60,000 ~ 60 Thou+"
4097,Major Singh,GANGANAGAR (SC),Jai Hind Congress Party,0,10th Pass,"Rs 13,28,500 ~ 13 Lacs+","Rs 9,00,000 ~ 9 Lacs+"
4098,Makadia Jayantilal Maldebhai,JUNAGADH,BSP,0,Doctorate,"Rs 71,387 ~ 71 Thou+",Rs 0 ~
4099,Make Davy Prasad,AMALAPURAM (SC),IND,0,Post Graduate,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~
4100,Makhan Lal Mahapatra,KANTHI,BSP,0,12th Pass,,
4101,Makhan Lal Meena,TONK-SAWAI MADHOPUR,IND,12,10th Pass,"Rs 1,18,60,000 ~ 1 Crore+",Rs 0 ~
4102,Makhan Singh,SANGRUR,BSP,0,Graduate Professional,"Rs 1,40,05,577 ~ 1 Crore+",Rs 0 ~
4103,Makhan Singh,PATIALA,IND,0,10th Pass,"Rs 1,39,76,000 ~ 1 Crore+","Rs 3,00,000 ~ 3 Lacs+"
4104,Makhan Singh Lodhi,HOSHANGABAD,Bhartiya Shakti Chetna Party,0,10th Pass,"Rs 9,47,450 ~ 9 Lacs+",Rs 0 ~
4105,Makkhan Lal,AONLA,IND,0,12th Pass,,
4106,Makwana Jayantibhai Kanjibhai,AHMEDABAD EAST,BSP,0,10th Pass,"Rs 75,36,029 ~ 75 Lacs+","Rs 9,25,000 ~ 9 Lacs+"
4107,Mala Rajya Lakshmi Shah,TEHRI GARHWAL,BJP,0,12th Pass,"Rs 2,06,87,39,424 ~ 206 Crore+","Rs 17,90,00,000 ~ 17 Crore+"
4108,Mala Roy,KOLKATA DAKSHIN,AITC,1,Graduate,"Rs 1,53,97,092 ~ 1 Crore+","Rs 7,95,517 ~ 7 Lacs+"
4109,Malagundla Sankar Narayana,ANANTHAPUR,YSRCP,4,Graduate Professional,"Rs 19,31,07,649 ~ 19 Crore+","Rs 37,65,464 ~ 37 Lacs+"
4110,Malaisamy K,SIVAGANGA,IND,0,5th Pass,,
4111,Malaiyarasan D,KALLAKURICHI,DMK,4,Post Graduate,"Rs 87,16,980 ~ 87 Lacs+",Rs 0 ~
4112,Malampati Suryanarayana,KHAMMAM,IND,0,Others,"Rs 13,60,27,115 ~ 13 Crore+",Rs 0 ~
4113,Malarmannan M,NILGIRIS (SC),Samaniya Makkal Nala Katchi,0,12th Pass,"Rs 3,16,223 ~ 3 Lacs+","Rs 2,20,000 ~ 2 Lacs+"
4114,Malathi,TIRUVALLUR (SC),Naadaalum Makkal Katchi,0,12th Pass,"Rs 3,38,000 ~ 3 Lacs+",Rs 0 ~
4115,Malavat Vithal,NIZAMABAD,IND,0,Graduate,,
4116,Malay Guha Roy,DIAMOND HARBOUR,IND,0,Graduate,"Rs 1,33,86,326 ~ 1 Crore+","Rs 8,44,282 ~ 8 Lacs+"
4117,Malay Prakash Patil,DHULE,IND,0,Graduate,"Rs 22,50,000 ~ 22 Lacs+","Rs 2,60,000 ~ 2 Lacs+"
4118,Malek Makbul Shakib,GANDHINAGAR,IND,0,10th Pass,"Rs 1,67,000 ~ 1 Lacs+",Rs 0 ~
4119,Malepu Mohan Reddy,ZAHIRABAD,Pyramid Party of India,0,Graduate,"Rs 62,54,000 ~ 62 Lacs+","Rs 4,00,000 ~ 4 Lacs+"
4120,Malik Ram,SHRAWASTI,IND,0,Post Graduate,,
4121,Malikireddy. Hanumantha Reddy,KADAPA,Jana Sahayaka Sakthi,0,12th Pass,"Rs 72,00,000 ~ 72 Lacs+","Rs 18,00,000 ~ 18 Lacs+"
4122,Malkhan Ramkishor Varma,NAVSARI,BSP,0,8th Pass,"Rs 95,000 ~ 95 Thou+",Rs 0 ~
4123,Malla Sravani,VISAKHAPATNAM,IND,0,5th Pass,"Rs 30,000 ~ 30 Thou+",Rs 0 ~
4124,Malleboina Paramesh Yadav,BHONGIR,IND,0,Graduate,"Rs 3,10,000 ~ 3 Lacs+",Rs 0 ~
4125,Mallepally Raghu,NELLORE,Navarang Congress Party,0,Doctorate,,
4126,Mallepogu Naganna,KURNOOL,SUCI(C),0,Illiterate,"Rs 6,08,586 ~ 6 Lacs+",Rs 0 ~
4127,Mallikarjun H. T.,BAGALKOT,SUCI(C),0,Post Graduate,"Rs 4,26,009 ~ 4 Lacs+",Rs 0 ~
4128,Mallikarjun Hadapad,KOPPAL,IND,0,Literate,"Rs 15,95,000 ~ 15 Lacs+",Rs 0 ~
4129,Mallikarjun Saybanna Pujari,THANE,IND,2,Literate,"Rs 60,01,100 ~ 60 Lacs+","Rs 47,50,000 ~ 47 Lacs+"
4130,Mallikarjuna Vajjala,ANANTHAPUR,INC,0,10th Pass,,
4131,Mallikarjunaiah,TUMKUR,IND,0,10th Pass,"Rs 20,000 ~ 20 Thou+",Rs 0 ~
4132,Mallipudi Mangapati Pallam Raju,KAKINADA,INC,0,Post Graduate,"Rs 28,19,77,369 ~ 28 Crore+",Rs 0 ~
4133,Malothu Syamlal Nayak,ADILABAD (ST),Alliance of Democratic Reforms Party,0,Graduate,"Rs 5,62,000 ~ 5 Lacs+",Rs 0 ~
4134,Malvika Devi,KALAHANDI,BJP,0,Graduate,"Rs 41,89,01,050 ~ 41 Crore+",Rs 0 ~
4135,Malvinder Singh Kang,ANANDPUR SAHIB,AAP,0,Post Graduate,,
4136,Mamidipally Bapaiah,PEDDAPALLE (SC),IND,1,Others,"Rs 36,96,000 ~ 36 Lacs+",Rs 0 ~
4137,Mamta Alias Mumtaj Bhikari Tadvi,RAVER,IND,0,10th Pass,"Rs 48,98,061 ~ 48 Lacs+","Rs 10,00,000 ~ 10 Lacs+"
4138,Mamta Bhuiyan,PALAMU (SC),RJD,0,Graduate,"Rs 2,43,96,183 ~ 2 Crore+",Rs 0 ~
4139,Mamta Kumari,SHEOHAR,Samata Party,0,12th Pass,"Rs 88,000 ~ 88 Thou+",Rs 0 ~
4140,Mamta Rani Sahu,RAIPUR,BSP,0,12th Pass,,
4141,Man House Manmadhan,KOTTAYAM,IND,0,12th Pass,"Rs 5,82,415 ~ 5 Lacs+",Rs 0 ~
4142,Manabendra Roy,JALPAIGURI (SC),Kamatapur People€™s Party (United),0,Post Graduate,"Rs 54,02,104 ~ 54 Lacs+","Rs 21,17,000 ~ 21 Lacs+"
4143,Manadip Ghosh,HOOGHLY,CPI(M),0,Graduate,"Rs 32,12,576 ~ 32 Lacs+",Rs 0 ~
4144,Manakbhai Jatrubhai Shankar,VALSAD (ST),BSP,0,10th Pass,"Rs 21,25,000 ~ 21 Lacs+","Rs 1,50,000 ~ 1 Lacs+"
4145,Manas Pradhan,KANTHI,SUCI(C),1,Graduate,,
4146,Manasa Perala,KARIMNAGAR,IND,0,Graduate Professional,"Rs 18,25,918 ~ 18 Lacs+","Rs 4,08,345 ~ 4 Lacs+"
4147,Manasi Swain,DHENKANAL,SUCI(C),0,Post Graduate,"Rs 43,58,050 ~ 43 Lacs+","Rs 6,89,362 ~ 6 Lacs+"
4148,"Manavalan, A.",ARANI,Anna MGR Dravida Makkal Kalgam,0,12th Pass,"Rs 14,35,000 ~ 14 Lacs+",Rs 0 ~
4149,Manchala Lakshmi Narayana,KURNOOL,BSP,0,10th Pass,"Rs 14,52,000 ~ 14 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
4150,Manda Naresh,WARANGAL (SC),IND,0,Post Graduate,,
4151,Mandala Giridhara Rao,ARAKU (ST),IND,0,Graduate Professional,"Rs 1,10,000 ~ 1 Lacs+",Rs 0 ~
4152,Mandar Singh,ANANDPUR SAHIB,IND,0,Post Graduate,"Rs 62,599 ~ 62 Thou+",Rs 0 ~
4153,Mandeep,HISAR,IND,0,Graduate,"Rs 52,000 ~ 52 Thou+",Rs 0 ~
4154,Mandeep Singh,PATIALA,Revolutionary Socialist Party,0,12th Pass,"Rs 12,35,000 ~ 12 Lacs+","Rs 3,15,000 ~ 3 Lacs+"
4155,Mane Arvind Bhiva,HATKANANGALE,IND,0,12th Pass,,
4156,Mane Arvind Bhiva,KOLHAPUR,Bhartiya Rashtriya Dal,0,12th Pass,"Rs 38,40,600 ~ 38 Lacs+","Rs 20,00,000 ~ 20 Lacs+"
4157,Maneka Sanjay Gandhi,SULTANPUR,BJP,0,12th Pass,"Rs 97,17,79,479 ~ 97 Crore+","Rs 1,22,65,800 ~ 1 Crore+"
4158,Mangat Ram,KURUKSHETRA,IND,0,Illiterate,"Rs 2,26,74,405 ~ 2 Crore+","Rs 14,245 ~ 14 Thou+"
4159,Mangesh Jaysingh Patil,KOLHAPUR,IND,0,12th Pass,"Rs 1,32,456 ~ 1 Lacs+","Rs 90,000 ~ 90 Thou+"
4160,Mangesh Sanjay Sable,JALNA,IND,6,Graduate,,
4161,Mani E,TIRUVALLUR (SC),IND,0,Post Graduate,"Rs 76,370 ~ 76 Thou+","Rs 3,00,000 ~ 3 Lacs+"
4162,Mani K,KRISHNAGIRI,Chennai Youth Party,0,Others,"Rs 1,20,843 ~ 1 Lacs+",Rs 0 ~
4163,Mani Munda,LOHARDAGA (ST),Bhagidari Party(P),0,10th Pass,"Rs 1,09,55,000 ~ 1 Crore+",Rs 0 ~
4164,Mani. A.,DHARMAPURI,DMK,1,Graduate Professional,"Rs 8,65,64,403 ~ 8 Crore+","Rs 2,12,87,262 ~ 2 Crore+"
4165,Mani. C.,DHARMAPURI,IND,0,Graduate Professional,,
4166,Mani. R.,DHARMAPURI,IND,0,10th Pass,"Rs 10,51,000 ~ 10 Lacs+",Rs 0 ~
4167,Mani. S.,DHARMAPURI,IND,0,Not Given,"Rs 10,51,000 ~ 10 Lacs+",Rs 0 ~
4168,Manickam R,SALEM,Ulzaipali Makkal Katchy,0,Graduate,"Rs 10,29,000 ~ 10 Lacs+",Rs 0 ~
4169,Manickam Tagore B,VIRUDHUNAGAR,INC,1,Graduate Professional,"Rs 6,17,19,802 ~ 6 Crore+","Rs 87,97,705 ~ 87 Lacs+"
4170,Manik Kumar Das,BAHARAMPUR,Jai Prakash Janata Dal,0,12th Pass,,
4171,Manika Mukherjee,DUM DUM,Bharatiya Nyay-Adhikar Raksha Party,0,Graduate Professional,"Rs 5,39,000 ~ 5 Lacs+",Rs 0 ~
4172,Manikandan M,VIRUDHUNAGAR,IND,0,Graduate Professional,"Rs 13,96,317 ~ 13 Lacs+",Rs 0 ~
4173,Manikandan R,THENI,IND,0,Graduate,"Rs 41,59,000 ~ 41 Lacs+","Rs 3,90,000 ~ 3 Lacs+"
4174,Manikandan. K,KARUR,IND,0,Graduate Professional,"Rs 26,15,000 ~ 26 Lacs+","Rs 1,07,000 ~ 1 Lacs+"
4175,Manikkam S,NAMAKKAL,Ulzaipali Makkal Katchy,0,5th Pass,,
4176,Manikkaraj A,THOOTHUKKUDI,BSP,0,Graduate Professional,"Rs 37,77,826 ~ 37 Lacs+","Rs 75,000 ~ 75 Thou+"
4177,Manimaran S,CHENNAI SOUTH,IND,0,Graduate Professional,"Rs 67,93,050 ~ 67 Lacs+","Rs 4,00,000 ~ 4 Lacs+"
4178,Manimaran T,MAYILADUTHURAI,IND,0,Others,"Rs 45,65,000 ~ 45 Lacs+",Rs 0 ~
4179,Manimaran V,TIRUVALLUR (SC),IND,0,Graduate Professional,"Rs 11,08,279 ~ 11 Lacs+","Rs 9,85,594 ~ 9 Lacs+"
4180,Manindr,BALLIA,IND,0,12th Pass,,
4181,Manish,KARNAL,IND,0,Post Graduate,"Rs 4,17,000 ~ 4 Lacs+","Rs 1,25,910 ~ 1 Lacs+"
4182,Manish Jaiswal,HAZARIBAGH,BJP,2,Graduate,"Rs 36,29,99,932 ~ 36 Crore+","Rs 5,88,96,276 ~ 5 Crore+"
4183,Manish Kumar,MIRZAPUR,BSP,1,Graduate,"Rs 91,75,000 ~ 91 Lacs+",Rs 0 ~
4184,Manish Kumar Dubey,AHMEDABAD EAST,Swaraj Kranti Party,0,Others,"Rs 3,05,84,661 ~ 3 Crore+","Rs 1,68,81,383 ~ 1 Crore+"
